### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Karak|220|38|26|36|16|1|11|27|0|123
Khyber|180|0|33|15|33|11|43|0|3|11
Kohat|421|0|18|7|54|6|9|0|0|25
Kohistan Lower|121|0|0|0|0|0|3|3|0|0
Kohistan Upper|266|10|5|8|0|0|22|0|18|0
Kolai Palas|79|15|0|5|0|0|2|0|0|0
L & C Kurram|23|5|1|0|0|0|3|0|4|0
Lakki Marwat|317|19|118|18|42|8|0|8|0|0
Malakand|426|9|11|3|0|0|0|11|6|4
Mansehra|493|109|0|5|0|25|3|0|1|0
Mardan|745|66|12|120|23|7|23|8|2|1
Mohmand|27|128|43|0|9|3|4|2|131|45
North Waziristan|41|5|65|42|1|24|4|18|9|11
Nowshera|806|45|45|19|10|9|5|5|12|21
Orakzai|34|6|1|0|0|0|0|0|0|0
Peshawar|2850|254|12|71|4|27|28|80|0|0
Shangla|489|0|76|42|115|16|2|7|0|0
South Waziristan (Lower)|70|78|14|21|15|5|16|7|46|14
SWU|24|0|14|6|0|0|0|0|28|0
Swabi|820|575|58|82|150|24|20|41|43|0
Swat|1383|240|14|80|202|24|60|13|0|0
Tank|394|21|88|4|0|0|5|3|0|0
Tor Ghar|83|0|13|9|21|11|16|0|0|8
Upper Kurram|144|124|10|28|8|7|17|1|13|0
Total|17679|3473|2127|1895|1073|520|505|468|404|343

### 2026 6
Districts|AD (noncholera)|ILI|Malaria|ALRI < 5 years|Dog Bite|SARI|Measles|B. Diarrhea|Typhoid|CL
Abbottabad|484|200|0|21|61|28|24|2|19|0
Bajaur|513|7|77|16|84|72|22|19|4|22
Bannu|513|0|852|1|0|0|86|0|76|0
Battagram|229|490|3|4|15|2|18|1|0|0
Buner|107|NR|73|NR|NR|NR|NR|NR|6|NR
Charsadda|832|1627|113|232|1|0|49|51|85|0
Chitral Lower|245|20|5|21|15|11|0|18|3|2
Chitral Upper|53|21|0|5|3|3|0|2|8|0
D.I. Khan|1186|0|84|27|8|0|45|21|0|2
Dir Lower|907|0|41|12|39|0|27|45|17|0
Dir Upper|538|53|6|21|11|0|1|7|0|0
Hangu|189|84|44|0|21|0|0|5|0|61
Haripur|709|54|0|28|32|0|0|0|0|0
Karak|17|180|60|0|27|0|0|0|0|51
Khyber|184|0|52|98|37|3|4|33|10|77
Kohat|0|0|9|82|28|0|0|1|1|11
Kohistan Lower|61|0|0|25|1|0|2|2|0|0
Kohistan Upper|182|0|1|0|0|0|3|10|0|0
Kolai Palas|59|13|0|2|0|0|0|2|2|0
L & C Kurram|32|4|8|5|3|1|0|10|2|0
Lakki Marwat|291|18|111|9|42|0|6|1|8|0
Malakand|437|319|12|64|0|48|16|0|0|3
Mansehra|519|153|0|4|0|0|0|1|0|0
Mardan|737|122|22|158|24|2|1|19|0|1
Mohmand|54|154|48|1|17|128|2|12|3|91
North Waziristan|16|2|39|45|1|63|28|5|23|3
Nowshera|797|47|68|20|16|18|16|16|12|17
Orakzai|53|4|0|0|0|0|0|2|0|0
Peshawar|2674|234|6|91|7|0|62|31|19|1
Shangla|512|0|95|33|153|0|10|0|11|0
South Waziristan (Lower)|30|83|12|42|12|19|11|2|6|20
SWU|20|0|11|6|0|21|0|0|0|0
Swabi|720|551|44|74|200|65|48|14|23|0
Swat|1806|251|20|85|150|0|10|66|78|0
Tank|359|19|62|5|0|0|0|7|1|0
Tor Ghar|75|0|26|12|20|0|0|14|8|10
Upper Kurram|124|104|13|16|12|25|0|15|6|0
Total|16264|4814|2017|1265|1040|509|491|434|431|372

### 2026 7
Districts|AD (NonCholera)|ILI|Malaria|Animal / Dog Bite|ALRI < 5 years|B. Diarrhea|SARI|Measles|Typhoid|CL
Abbottabad|615|321|0|87|22|2|18|12|18|0
Bajaur|584|4|105|100|15|31|42|29|2|14
Bannu|697|0|1101|0|0|2|5|73|88|0
Battagram|247|503|16|15|7|5|0|10|0|0
Buner|112|0|98|13|0|0|0|0|8|0
Charsadda|1392|793|153|8|233|69|1|36|26|0
Chitral Lower|435|25|4|8|20|20|18|0|7|6
Chitral Upper|72|32|1|4|4|5|12|0|6|0
D.I. Khan|1483|2|100|9|35|18|12|42|0|1
Dir Lower|1008|0|47|71|16|50|0|16|14|1
Dir Upper|714|82|18|3|16|23|0|2|0|0
Hangu|266|69|52|18|0|0|0|0|0|29
Haripur|1063|611|0|42|68|20|0|3|0|0
Karak|219|68|102|28|17|28|7|31|13|190
Khyber|257|0|46|38|16|39|0|0|31|33
Kohat|346|0|38|54|0|8|0|0|2|13
Kohistan Lower|102|0|1|1|26|7|0|3|2|1
Kohistan Upper|347|1|6|2|6|16|0|1|1|0
Kolai Palas|49|7|0|0|2|3|0|0|1|0
L & C Kurram|25|3|6|2|6|11|0|0|4|0
Lakki Marwat|400|11|124|67|3|0|0|5|9|0
Malakand|499|130|10|0|29|0|26|20|0|7
Mansehra|503|149|0|0|13|0|2|0|1|0
Mardan|1025|57|58|31|136|50|2|0|0|0
Mohmand|70|133|63|14|0|9|135|2|1|60
North Waziristan|16|5|41|5|34|5|60|28|27|0
Nowshera|1068|56|82|9|29|17|17|13|23|15
Orakzai|91|4|4|0|0|2|0|0|0|0
Peshawar|3152|286|9|3|94|50|0|77|23|1
Shangla|761|0|108|128|44|0|0|11|6|0
South Waziristan (Lower)|56|88|17|17|13|6|28|6|8|2
SWU|12|0|8|2|2|1|28|1|0|0
Swabi|1031|779|53|254|110|13|74|46|46|0
Swat|1760|185|18|213|80|63|0|13|31|0
Tank|325|23|64|0|4|4|1|0|0|0
Tor Ghar|90|0|23|10|7|4|0|0|5|1
Upper Kurram|162|150|9|16|18|23|14|0|3|0
Total|21054|4577|2585|1272|1125|604|502|480|406|374

### 2026 8
Districts|AD (NonCholera)|ILI|Malaria|ALRI < 5 years|Animal / Dog Bite|B. Diarrhea|Measles|Typhoid|SARI|CL
Abbottabad|683|199|0|30|74|6|20|6|6|0
Bajaur|612|5|84|19|98|26|29|0|31|23
Bannu|664|4|958|12|2|7|74|74|0|0
Battagram|307|521|16|5|9|6|13|0|0|0
Buner|188|0|128|0|8|0|0|9|0|0
Charsadda|1495|911|162|180|8|66|35|41|1|0
Chitral Lower|351|28|3|14|14|21|0|4|9|3
Chitral Upper|86|17|0|7|5|2|0|1|6|0
D.I. Khan|1762|0|101|39|5|20|51|0|0|1
Dir Lower|1131|0|49|9|53|60|33|18|0|0
Dir Upper|933|73|5|60|9|18|11|10|0|0
Hangu|281|87|51|1|16|1|11|2|0|38
Haripur|1222|380|0|295|32|20|9|10|12|0
Karak|746|141|82|50|18|0|23|0|0|137
Khyber|343|0|54|4|45|47|0|31|6|57
Kohat|333|0|25|0|38|0|0|3|0|5
Kohistan Lower|117|0|0|15|1|8|1|0|0|0
Kohistan Upper|472|2|1|4|0|10|2|1|0|0
Kolai Palas|47|13|0|4|0|2|0|1|0|0
L & C Kurram|45|12|17|6|4|6|0|8|5|0
Lakki Marwat|413|13|125|2|72|2|5|9|0|0
Malakand|497|254|15|41|0|0|16|0|50|3
Mansehra|330|59|0|0|0|0|0|0|0|0
Mardan|1073|56|19|119|20|29|2|0|0|1
Mohmand|92|103|57|1|20|17|1|4|112|45
North Waziristan|53|6|44|40|1|5|28|19|32|1
Nowshera|1205|22|94|24|12|18|19|35|15|24
Orakzai|52|5|0|0|1|0|0|0|0|0
Peshawar|3059|267|10|72|5|44|75|22|0|0
Shangla|655|0|132|29|63|0|5|21|0|0
South Waziristan (Lower)|29|66|12|28|22|3|11|9|20|16
SWU|30|8|12|4|0|2|0|0|15|0
Swabi|1239|912|74|101|243|19|57|38|54|0
Swat|1877|201|16|92|55|50|3|8|0|0
Tank|232|25|51|5|0|4|4|2|0|0
Tor Ghar|70|0|18|7|17|10|0|3|0|1
Upper Kurram|147|117|6|9|8|18|0|4|15|0
Total|22871|4507|2421|1328|978|547|538|393|389|355

### 2026 9
Districts|AD (Non-Cholera)|ILI|Malaria|ALRI < 5 years|Animal / Dog Bite|B. Diarrhea|Measles|Typhoid|CL|SARI
Abbottabad|777|29|1|18|71|6|21|13|0|3
Bajaur|778|5|102|9|107|27|26|3|17|32
Bannu|742|3|883|5|4|4|87|96|16|0
Battagram|295|423|17|12|10|9|9|2|0|0
Buner|172|0|46|0|6|0|0|4|0|0
Charsadda|1672|673|283|201|17|112|51|79|1|1
Chitral Lower|368|34|7|22|16|21|1|4|6|15
Chitral Upper|86|20|2|1|1|4|0|6|0|3
D.I. Khan|2075|0|93|18|5|31|47|2|5|0
Dir Lower|1035|0|53|5|41|73|31|22|0|0
Dir Upper|973|36|7|55|11|23|8|14|0|0
Hangu|368|0|100|0|9|51|0|3|15|0
Haripur|1084|606|0|86|16|30|11|6|0|0
Karak|356|5|71|24|8|5|19|13|171|0
Khyber|347|0|51|8|1|55|1|30|42|1
Kohat|317|0|11|0|36|0|0|0|3|0
Kohistan Lower|123|0|1|5|0|8|3|3|0|0
Kohistan Upper|327|1|1|9|0|22|3|0|0|0
Kolai Palas|55|15|1|5|0|4|0|1|0|4
L & C Kurram|26|5|5|5|4|2|1|4|0|5
Lakki Marwat|535|21|180|6|88|3|2|6|1|0
Malakand|217|48|12|8|0|0|10|1|1|23
Mansehra|506|94|0|0|0|0|0|10|0|0
Mardan|971|47|12|125|18|21|15|13|1|1
Mohmand|89|80|50|2|23|21|5|2|43|95
North Waziristan|112|5|65|41|1|7|26|17|1|10
Nowshera|1577|36|127|30|13|37|10|23|22|13
Orakzai|101|5|1|0|0|4|1|0|0|1
Peshawar|3068|219|6|46|16|54|69|25|0|2
Shangla|463|0|145|7|70|2|8|20|0|0
South Waziristan (Lower)|20|16|18|4|0|1|2|5|1|11
SWU|37|10|11|6|0|1|0|2|0|14
Swabi|1312|895|55|102|234|26|59|51|0|60
Swat|2040|206|11|78|93|66|9|21|0|0
Tank|359|23|67|4|0|12|5|0|0|0
Tor Ghar|91|0|36|13|18|11|0|3|8|0
Upper Kurram|206|144|8|13|8|24|0|4|0|27
Total|23680|3704|2539|973|945|777|540|508|354|321

### 2026 10
Districts|AD (noncholera)|ILI|Malaria|ALRI < 5 years|Animal / Dog Bite|B. Diarrhea|Measles|SARI|Typhoid|CL
Abbottabad|680|223|0|28|51|8|17|19|6|0
Bajaur|610|0|108|11|53|34|28|37|1|15
Bannu|781|4|766|10|5|12|79|4|84|11
Battagram|290|402|18|7|9|1|6|2|4|0
Buner|208|0|82|0|13|0|0|0|0|0
Charsadda|1709|661|201|202|30|92|39|0|62|1
Chitral Lower|311|14|4|20|13|19|0|13|7|6
Chitral Upper|81|15|2|4|0|1|0|3|13|0
D.I. Khan|2283|0|101|21|4|30|40|0|1|3
Dir Lower|1189|0|58|10|51|69|31|0|18|0
Dir Upper|451|26|4|67|11|14|4|0|12|0
Hangu|375|7|58|0|23|7|2|0|4|44
Haripur|1016|48|0|30|26|0|0|0|0|0
Karak|349|17|54|44|40|21|34|0|6|129
Khyber|329|7|55|8|52|61|2|2|31|28
Kohat|446|0|41|1|43|9|0|0|12|61
Kohistan Lower|135|0|0|2|0|1|2|0|1|0
Kohistan Upper|350|0|0|2|1|18|2|0|1|0
Kolai Palas|39|11|0|1|2|8|0|0|0|0
L & C Kurram|36|6|7|5|1|2|0|0|4|0
Lakki Marwat|532|5|119|6|86|0|0|0|9|0
Malakand|616|223|17|29|0|0|15|24|0|0
Mansehra|480|84|0|1|0|0|0|0|0|0
Mardan|1271|110|31|196|20|19|18|4|15|2
Mohmand|83|68|67|1|19|17|3|83|3|63
North Waziristan|67|6|42|37|3|7|42|18|18|0
Nowshera|1366|30|97|34|11|27|19|15|15|14
Orakzai|97|4|6|0|2|7|1|0|0|0
Peshawar|2876|270|9|54|1|55|95|22|22|0
Shangla|794|0|151|14|87|5|4|0|11|0
South Waziristan (Lower)|55|66|19|19|9|7|8|50|3|45
SWU|21|12|0|1|0|0|0|3|0|0
Swabi|1498|769|68|79|224|15|32|163|43|0
Swat|1843|110|35|72|41|49|3|0|18|0
Tank|450|21|76|3|0|0|1|0|0|0
Tor Ghar|83|0|16|12|14|5|2|0|3|8
Upper Kurram|199|113|10|11|6|14|1|18|5|0
Total|23999|3332|2322|1042|951|634|530|480|432|430

### 2026 11
Districts|AD (NonCholera)|ILI|Malaria|Animal / Dog Bite|ALRI < 5 years|B. Diarrhea|Typhoid|Measles|CL|SARI
Abbottabad|620|56|0|68|11|2|10|1|0|7
Bajaur|526|3|115|50|8|24|1|17|13|26
Bannu|789|4|810|2|9|13|103|70|15|1
Battagram|209|348|7|17|6|4|5|10|0|0
Buner|190|NR|68|NR|NR|NR|6|NR|NR|NR
Charsadda|1798|1106|229|22|301|106|188|49|0|0
Chitral Lower|318|19|3|16|18|9|5|1|2|10
Chitral Upper|106|17|2|1|2|5|12|0|1|3
D.I. Khan|2461|0|115|6|27|43|0|61|4|0
Dir Lower|1094|0|54|46|8|52|16|30|3|0
Dir Upper|787|51|7|5|8|13|6|0|0|0
Hangu|329|12|69|23|0|28|2|9|51|0
Haripur|907|46|0|34|25|0|0|0|0|0
Karak|366|6|30|28|50|13|5|42|171|0
Khyber|313|4|54|36|8|67|30|1|5|4
Kohat|370|3|29|34|7|18|11|1|79|0
Kohistan Lower|106|0|2|0|6|8|3|4|0|0
Kohistan Upper|252|0|0|0|8|9|1|0|0|0
Kolai Palas|60|8|0|0|1|2|0|0|0|0
L & C Kurram|48|5|9|1|4|4|2|1|0|0
Lakki Marwat|542|5|152|58|0|1|14|3|0|0
Malakand|497|234|3|0|23|0|0|9|1|18
Mansehra|235|62|0|0|7|0|9|0|0|0
Mardan|1436|60|33|20|113|42|18|17|2|2
Mohmand|113|62|75|14|1|17|1|1|54|77
North Waziristan|90|7|48|1|34|3|18|33|0|28
Nowshera|1381|26|83|18|20|25|34|28|27|12
Orakzai|56|4|0|0|0|2|0|2|0|0
Peshawar|3371|188|12|7|39|34|18|78|0|0
Shangla|594|0|147|118|12|2|9|3|0|0
South Waziristan (Lower)|13|55|11|21|29|1|7|6|23|7
SWU|28|4|2|0|2|0|0|0|0|1
Swabi|1438|502|36|171|38|8|48|43|0|58
Swat|1791|44|1|80|62|26|9|7|0|0
Tank|374|25|68|0|5|6|0|3|0|0
Tor Ghar|68|0|3|16|9|17|3|2|8|0
Upper Kurram|134|94|8|5|2|19|5|0|0|10
Total|23810|3060|2285|918|903|623|599|532|459|264

### 2026 12
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|ALRI < 5 years|B. Diarrhea|SARI|Measles|Typhoid|CL
Abbottabad|429|0|77|46|10|3|3|1|1|0
Bajaur|296|52|3|83|7|16|29|2|0|8
Bannu|410|475|3|4|5|9|0|60|50|2
Battagram|104|9|163|10|0|3|0|2|0|0
Buner|111|71|0|0|0|0|0|0|2|0
Charsadda|848|102|157|39|22|46|0|38|18|0
Chitral Lower|334|4|14|11|15|11|9|0|2|3
Chitral Upper|69|1|20|3|1|2|4|0|5|1
D.I. Khan|1663|57|0|28|17|25|0|50|0|0
Dir Lower|735|24|0|46|4|49|0|17|7|1
Dir Upper|685|3|23|7|52|12|0|1|8|0
Hangu|130|46|1|16|1|16|0|3|1|25
Haripur|654|0|140|68|32|8|4|9|15|0
Karak|213|34|10|23|28|6|0|27|4|107
Khyber|241|45|2|43|9|37|2|1|15|10
Kohat|276|11|0|26|2|8|0|3|5|11
Kohistan Lower|59|0|0|0|0|1|0|0|0|0
Kohistan Upper|212|1|0|0|0|14|0|1|0|0
Kolai Palas|40|0|14|0|4|1|10|0|1|0
L & C Kurram|43|10|5|0|2|3|0|0|3|0
Lakki Marwat|272|45|3|27|0|0|0|1|5|1
Malakand|920|5|23|0|38|0|40|5|0|2
Mansehra|238|0|36|0|0|0|0|0|0|0
Mardan|941|22|37|19|112|26|0|2|0|1
Mohmand|99|42|54|13|1|6|66|0|1|23
North Waziristan|39|30|5|1|25|14|67|12|8|5
Nowshera|877|51|9|15|7|42|7|7|5|8
Orakzai|57|0|1|0|0|8|0|0|0|0
Peshawar|1971|7|125|9|28|29|0|29|3|0
Shangla|585|181|1|68|12|1|0|6|4|0
South Waziristan (Lower)|24|12|35|12|6|4|30|5|4|2
SWU|10|0|0|0|0|0|0|0|0|0
Swabi|881|25|256|272|34|10|72|22|34|0
Swat|1369|11|115|124|55|23|1|5|7|0
Tank|237|40|19|0|3|4|0|1|0|0
Tor Ghar|34|6|0|6|6|6|0|0|3|3
Upper Kurram|122|8|69|15|6|16|10|0|7|0
Total|16228|1430|1420|1034|544|459|354|310|218|213

### 2026 13
Districts|AD (NonCholera)|ILI|Malaria|Animal / Dog Bite|ALRI < 5 years|B. Diarrhea|Measles|Typhoid|CL|SARI
Abbottabad|813|264|0|89|32|0|21|9|1|24
Bajaur|481|5|84|113|20|27|5|0|42|34
Bannu|745|4|795|2|5|17|75|74|2|0
Battagram|270|416|18|7|9|4|8|7|2|0
Buner|242|0|63|13|0|0|0|5|0|0
Charsadda|1349|453|317|32|131|74|27|69|0|0
Chitral Lower|448|18|5|12|10|16|0|3|2|3
Chitral Upper|148|27|3|13|3|4|1|14|0|7
D.I. Khan|2275|0|106|26|11|37|57|0|1|0
Dir Lower|1155|0|51|52|5|57|18|11|1|0
Dir Upper|965|52|13|15|95|18|9|11|0|1
Hangu|309|5|62|20|0|52|2|2|31|0
Haripur|1572|96|11|25|71|8|1|6|0|0
Karak|361|4|22|27|47|15|26|2|139|0
Khyber|457|18|104|52|25|58|1|25|43|3
Kohat|377|0|16|42|0|21|0|7|34|0
Kohistan Lower|114|0|1|0|0|5|0|2|0|0
Kohistan Upper|289|0|0|0|27|11|2|2|0|0
Kolai Palas|63|10|0|0|1|5|0|0|0|0
L & C Kurram|41|6|11|1|4|3|0|3|0|0
Lakki Marwat|537|9|121|84|0|0|7|8|2|0
Malakand|599|60|7|0|10|0|8|0|1|3
Mansehra|424|33|0|0|7|1|0|5|0|0
Mardan|1017|64|20|14|89|23|29|16|2|0
Mohmand|97|44|52|15|2|8|3|1|44|60
North Waziristan|95|5|45|2|10|11|10|8|1|22
Nowshera|1469|23|111|29|19|47|36|16|18|7
Orakzai|86|4|6|3|0|8|0|0|0|0
Peshawar|3255|206|13|8|23|62|44|10|0|32
Shangla|576|0|209|125|17|3|8|11|0|0
South Waziristan (Lower)|45|31|23|20|25|7|7|4|11|59
SWU|23|0|12|0|2|0|0|0|0|13
Swabi|1280|616|56|203|34|6|39|34|0|78
Swat|2082|200|26|163|25|56|10|17|0|0
Tank|275|23|52|0|4|3|3|0|0|0
Tor Ghar|100|0|12|10|3|5|0|2|7|0
Upper Kurram|195|102|9|9|16|24|0|6|0|8
Total|24629|2798|2456|1226|782|696|457|390|384|354

### 2026 14
Districts|AD (NonCholera)|ILI|Malaria|Animal / Dog Bite|ALRI < 5 years|B. Diarrhea|Measles|SARI|Typhoid|CL
Abbottabad|771|251|0|69|62|4|16|5|11|0
Bajaur|620|0|88|91|22|37|3|32|3|23
Bannu|740|3|781|1|2|4|74|0|77|6
Battagram|206|380|13|12|0|1|1|0|0|0
Buner|241|0|57|0|0|0|0|0|4|0
Charsadda|1606|358|255|34|153|74|64|1|44|0
Chitral Lower|334|19|3|12|13|17|2|7|2|10
Chitral Upper|124|21|1|9|2|4|1|5|17|1
D.I. Khan|2051|0|99|15|20|27|60|0|1|1
Dir Lower|1211|0|32|51|7|64|25|0|14|0
Dir Upper|1086|31|8|21|74|19|9|2|9|0
Hangu|328|6|67|15|1|65|6|0|2|21
Haripur|1323|507|0|97|78|0|3|5|15|0
Karak|425|47|50|28|34|8|32|0|5|103
Khyber|332|12|79|49|13|57|0|4|17|81
Kohat|472|0|21|36|2|16|1|0|10|6
Kohistan Lower|87|0|0|0|0|4|0|0|2|0
Kohistan Upper|326|0|2|0|2|12|2|3|0|0
Kolai Palas|67|9|0|0|4|0|0|21|2|0
L & C Kurram|10|2|0|0|2|3|0|0|0|0
Lakki Marwat|568|6|118|97|0|4|6|0|9|0
Malakand|480|80|19|0|16|0|3|8|0|4
Mansehra|357|63|0|5|0|0|0|0|3|0
Mardan|1317|31|34|11|95|37|4|1|0|0
Mohmand|100|72|43|15|0|4|5|84|2|62
North Waziristan|25|12|24|2|10|10|6|17|3|2
Nowshera|1592|20|109|52|15|17|6|9|13|19
Orakzai|95|3|3|2|0|7|0|0|0|0
Peshawar|4006|211|8|13|45|51|62|0|25|0
Shangla|888|0|267|61|14|10|3|0|3|0
South Waziristan (Lower)|57|61|15|12|19|11|4|43|3|14
SWU|34|1|11|0|2|0|0|11|1|0
Swabi|1542|663|68|250|34|10|38|118|35|0
Swat|1850|175|15|139|64|38|5|0|25|0
Tank|343|19|55|0|3|4|1|0|0|0
Tor Ghar|93|0|25|10|12|13|0|0|6|5
Upper Kurram|199|146|8|8|25|29|0|37|6|0
Total|25906|3209|2378|1217|845|661|442|413|369|358

### 2026 15
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Measles|CL|Typhoid|SARI
Abbottabad|842|3|277|60|0|41|7|0|10|26
Bajaur|585|100|3|97|28|7|19|28|0|39
Bannu|825|891|3|4|7|8|103|16|73|0
Battagram|276|23|316|0|10|12|0|0|2|0
Buner|240|28|0|0|0|0|0|0|3|0
Charsadda|1949|315|352|36|119|129|28|1|60|2
Chitral Lower|516|6|20|14|22|14|0|5|6|9
Chitral Upper|101|1|18|5|5|5|0|0|8|4
D.I. Khan|2508|187|0|28|39|29|84|4|0|0
Dir Lower|1233|32|0|56|59|7|26|3|19|0
Dir Upper|1107|6|32|9|13|34|5|0|9|2
Hangu|402|85|9|15|76|1|0|18|3|0
Haripur|1515|0|243|81|0|67|4|0|9|24
Karak|477|55|14|33|21|45|33|162|7|0
Khyber|618|144|23|51|82|10|1|61|35|4
Kohat|583|43|0|68|18|3|0|65|11|0
Kohistan Lower|102|3|0|0|11|0|0|1|2|0
Kohistan Upper|378|1|0|2|22|5|0|0|0|0
Kolai Palas|91|0|4|0|1|2|0|0|0|0
L & C Kurram|6|10|1|0|11|3|0|0|2|0
Lakki Marwat|670|143|0|67|3|0|7|0|10|0
Malakand|387|17|53|0|0|13|6|1|0|6
Mansehra|166|0|6|0|0|0|0|0|4|0
Mardan|1808|42|9|13|28|51|28|1|29|0
Mohmand|99|54|12|1|2|0|3|53|1|13
North Waziristan|54|64|3|3|8|18|15|1|10|9
Nowshera|2099|146|28|63|26|21|40|3|6|1
Orakzai|100|6|4|4|4|0|0|0|0|0
Peshawar|4694|13|229|12|56|30|70|0|27|0
Shangla|825|343|0|167|6|4|4|0|18|0
South Waziristan (Lower)|69|22|110|20|1|32|3|0|23|42
SWU|39|11|7|3|0|1|0|0|1|6
Swabi|1335|48|507|191|8|16|33|0|6|27
Swat|2351|14|80|191|46|77|4|0|11|0
Tank|448|86|23|0|6|2|5|0|0|0
Tor Ghar|80|18|0|15|14|6|0|6|1|0
Upper Kurram|231|16|140|32|29|3|0|0|4|45
Total|29809|2976|2526|1341|781|696|528|429|410|259

### 2026 16
Districts|AD (Non-Cholera)|ILI|Malaria|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|CL|SARI|Typhoid|Measles
Abbottabad|865|280|2|62|6|36|1|13|1|3
Bajaur|644|5|134|100|32|14|25|99|1|7
Bannu|858|3|823|0|13|9|8|0|81|88
Battagram|241|496|51|12|9|12|0|3|5|0
Buner|251|0|76|0|0|0|0|0|5|0
Charsadda|1720|353|158|35|90|103|1|0|77|16
Chitral Lower|475|17|5|8|23|5|10|20|6|1
Chitral Upper|121|16|1|4|2|1|0|5|9|1
D.I. Khan|2534|0|187|26|38|24|1|0|3|84
Dir Lower|1807|0|42|64|71|7|4|0|21|19
Dir Upper|1342|37|7|12|34|52|0|0|12|8
Hangu|381|0|73|25|63|2|21|0|1|2
Haripur|1945|365|0|99|0|21|0|5|10|1
Karak|421|44|82|33|16|40|154|0|5|31
Khyber|668|23|178|44|125|81|101|5|52|0
Kohat|779|2|35|42|20|0|80|0|0|3
Kohistan Lower|59|0|0|0|3|0|0|0|1|0
Kohistan Upper|285|0|1|0|24|2|0|0|0|1
Kolai Palas|67|5|0|0|1|0|0|4|1|0
L & C Kurram|27|6|0|0|1|0|0|0|2|0
Lakki Marwat|649|13|187|89|10|1|0|0|11|3
Malakand|683|131|19|0|0|11|2|10|0|8
Mansehra|766|105|0|0|0|0|0|0|28|0
Mardan|1678|12|58|17|57|61|0|2|37|43
Mohmand|119|103|91|3|2|0|84|107|0|3
North Waziristan|97|3|96|3|11|21|10|5|12|8
Nowshera|2781|29|167|62|23|20|27|26|11|44
Orakzai|121|6|15|9|6|0|0|0|0|0
Peshawar|5613|350|33|13|93|32|2|0|23|52
Shangla|1062|0|382|160|4|17|0|0|14|4
South Waziristan (Lower)|82|164|52|18|32|7|21|121|7|2
SWU|31|3|9|3|0|4|0|11|1|0
Swabi|1646|577|69|79|18|47|0|21|26|25
Swat|2303|88|15|179|34|70|0|0|0|6
Tank|414|21|98|0|4|3|0|0|1|3
Tor Ghar|67|0|18|14|10|17|6|0|2|0
Upper Kurram|215|127|7|35|21|9|0|49|5|1
Total|33817|3384|3171|1250|896|729|558|506|471|467

### 2026 17
Districts|AD (Non-Cholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|CL|Measles|Typhoid|SARI
Abbottabad|1073|7|46|85|8|37|0|16|14|7
Bajaur|650|209|0|126|34|6|23|17|0|54
Bannu|922|993|4|1|14|5|8|97|92|0
Battagram|374|67|639|8|2|4|0|4|3|7
Buner|646|123|0|18|0|0|0|0|3|0
Charsadda|2495|289|396|48|105|123|1|45|99|2
Chitral Lower|587|5|14|17|19|14|11|1|7|11
Chitral Upper|134|2|15|8|5|0|1|1|12|4
D.I. Khan|2835|228|0|26|36|26|1|89|0|0
Dir Lower|2208|50|0|77|69|5|0|27|23|0
Dir Upper|1557|13|36|21|23|69|0|3|14|0
Hangu|523|94|2|24|63|0|30|0|2|0
Haripur|2255|1|445|52|5|51|0|8|0|22
Karak|369|129|28|23|26|24|137|27|12|0
Khyber|746|237|17|47|83|46|275|5|30|6
Kohat|787|51|0|39|42|2|72|1|29|0
Kohistan Lower|111|0|0|0|4|0|0|0|6|0
Kohistan Upper|466|2|3|2|25|32|0|2|3|0
Kolai Palas|107|1|10|0|3|2|0|0|2|12
L & C Kurram|39|12|2|1|4|0|0|0|2|0
Lakki Marwat|653|190|8|88|5|5|2|7|17|0
Malakand|987|30|110|0|0|13|4|21|0|7
Mansehra|920|0|54|0|0|0|0|0|1|0
Mardan|2296|108|7|23|65|116|2|27|34|2
Mohmand|61|81|0|3|11|0|11|0|2|0
North Waziristan|109|98|3|5|8|23|5|23|20|7
Nowshera|2863|228|25|50|22|27|15|41|22|29
Orakzai|135|8|8|18|3|1|0|3|1|0
Peshawar|5559|20|381|19|101|41|0|88|31|0
Shangla|1321|469|0|75|20|13|0|4|25|0
South Waziristan (Lower)|46|56|60|15|18|11|12|10|5|27
SWU|34|14|2|0|0|1|0|0|1|0
Swabi|2322|75|572|129|7|25|0|34|3|18
Swat|3188|32|205|254|118|73|0|4|54|0
Tank|466|102|26|10|4|4|0|6|0|0
Tor Ghar|116|46|0|17|23|1|10|0|3|0
Upper Kurram|250|16|121|45|30|20|0|0|4|61
Total|40210|4086|3239|1374|1005|820|620|611|576|276

### 2026 18
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Typhoid|Measles|CL|SARI
Abbottabad|852|0|47|56|5|32|7|4|0|6
Bajaur|676|137|0|64|28|14|2|16|25|20
Bannu|858|857|4|0|13|5|71|89|6|0
